m_worldPositionX,m_worldPositionY,m_worldPositionZ,m_worldVelocityX,m_worldVelocityY,m_worldVelocityZ,m_worldForwardDirX,m_worldForwardDirY,m_worldForwardDirZ,m_worldRightDirX,m_worldRightDirY,m_worldRightDirZ,m_gForceLateral,m_gForceLongitudinal,m_gForceVertical,m_yaw,m_pitch,m_roll
-148.77320861816406,-24.452909469604492,84.9510498046875,-40.15278625488281,0.49038630723953247,-57.701759338378906,-18710,241,-26898,26883,-971,-18708,0.09016585350036621,0.6912261247634888,0.48862695693969727,-2.533841848373413,-0.007363438606262207,0.029639028012752533
-153.5008544921875,-24.3848934173584,78.19275665283203,-40.95078659057617,0.5662587881088257,-58.085628509521484,-18918,287,-26752,26734,-1056,-18916,0.5371006727218628,0.6673498153686523,-0.15446355938911438,-2.5260767936706543,-0.008774399757385254,0.03223760798573494
-157.63612365722656,-24.32749366760254,72.37194061279297,-41.714908599853516,0.6680577993392944,-58.33169937133789,-19132,330,-26599,26583,-958,-19132,0.4496222138404846,0.6447808742523193,0.336498886346817,-2.518054723739624,-0.010085225105285645,0.029266132041811943
-174.59295654296875,-23.927743911743164,48.638973236083984,-42.177955627441406,1.242666244506836,-60.879268646240234,-18546,562,-27007,26988,-1019,-18554,-0.9306630492210388,0.5649698376655579,0.14858558773994446,-2.539827823638916,-0.017166733741760254,0.031118333339691162
-178.79202270507812,-23.79822540283203,42.50418472290039,-41.826961517333984,1.3594505786895752,-61.77744674682617,-18289,616,-27180,27159,-1077,-18299,-0.7644568681716919,0.5517401099205017,0.1868348866701126,-2.5492985248565674,-0.018807411193847656,0.03290335088968277
-187.0296630859375,-23.493701934814453,30.00299072265625,-40.410457611083984,1.5795809030532837,-63.55256271362305,-17442,698,-27729,27711,-1004,-17456,-1.5934369564056396,0.5308239459991455,0.13124234974384308,-2.580097198486328,-0.02131354808807373,0.03065584972500801
-191.01611328125,-23.335180282592773,23.58469581604004,-39.32081985473633,1.6026244163513184,-64.79376983642578,-16811,706,-28116,28100,-953,-16825,-1.6658236980438232,0.5229631066322327,0.09322229027748108,-2.6027116775512695,-0.021573305130004883,0.029112434014678
-198.62234497070312,-23.00051498413086,10.361750602722168,-36.579654693603516,1.6915466785430908,-67.45574188232422,-15379,724,-28924,28908,-974,-15395,-2.1569886207580566,0.47664380073547363,-0.028896547853946686,-2.6528916358947754,-0.0221174955368042,0.029761724174022675
-202.1949920654297,-22.836450576782227,3.545008420944214,-34.97905731201172,1.566192626953125,-68.80985260009766,-14527,700,-29362,29346,-968,-14543,-1.9507453441619873,0.5235878229141235,0.070394366979599,-2.6821372509002686,-0.0213930606842041,0.02957303822040558
-205.63600158691406,-22.66672706604004,-3.3912346363067627,-34.03404998779297,1.872634768486023,-69.80461883544922,-14205,801,-29516,29501,-977,-14225,-0.8382254838943481,0.49698713421821594,0.3623618483543396,-2.69303035736084,-0.024457812309265137,0.02983156591653824
-223.14418029785156,-21.714393615722656,-38.703277587890625,-36.86643981933594,2.0112226009368896,-70.92418670654297,-15160,835,-29036,29025,-869,-15179,0.3603284955024719,0.4375566840171814,-0.17137064039707184,-2.660407066345215,-0.025493144989013672,0.02654089592397213
