m_worldPositionX,m_worldPositionY,m_worldPositionZ,m_worldVelocityX,m_worldVelocityY,m_worldVelocityZ,m_worldForwardDirX,m_worldForwardDirY,m_worldForwardDirZ,m_worldRightDirX,m_worldRightDirY,m_worldRightDirZ,m_gForceLateral,m_gForceLongitudinal,m_gForceVertical,m_yaw,m_pitch,m_roll
-226.85464477539062,-21.518795013427734,-45.80821228027344,-37.31851577758789,1.9835196733474731,-71.16996002197266,-15242,833,-28993,28982,-863,-15261,0.28171977400779724,0.42920881509780884,0.1821979582309723,-2.6575868129730225,-0.025443434715270996,0.026379285380244255
-234.38636779785156,-21.11321258544922,-60.101192474365234,-37.872283935546875,2.041008472442627,-71.80472564697266,-15290,839,-28968,28960,-770,-15308,-0.10555079579353333,0.3985717296600342,0.24433347582817078,-2.6559360027313232,-0.025628209114074707,0.023523474112153053
-249.43240356445312,-20.268375396728516,-89.2243423461914,-37.41643524169922,2.0132758617401123,-73.74202728271484,-14806,811,-29219,29213,-725,-14823,-0.1152942031621933,0.3638339936733246,-0.1325908601284027,-2.672557830810547,-0.024768710136413574,0.022139620035886765
-256.9422607421875,-19.87051773071289,-104.03990936279297,-37.69351577758789,2.0439436435699463,-74.3873062133789,-14805,827,-29219,29211,-805,-14823,-0.00974641740322113,0.3554408848285675,-0.14272789657115936,-2.672607183456421,-0.02526533603668213,0.024578848853707314
-260.7195129394531,-19.665117263793945,-111.49284362792969,-37.814491271972656,2.0913169384002686,-74.55181884765625,-14822,839,-29210,29202,-800,-14841,0.0979103222489357,-0.484697550535202,0.11007498949766159,-2.672020673751831,-0.0256197452545166,0.02445196360349655
-272.2477111816406,-18.974016189575195,-133.872802734375,-39.42840576171875,2.414680004119873,-74.62921905517578,-15403,975,-28904,28905,-565,-15422,0.7957292199134827,0.43019726872444153,-0.006964364554733038,-2.6519765853881836,-0.029782652854919434,0.017280511558055878
-276.23712158203125,-18.724191665649414,-141.3243408203125,-40.36763381958008,2.5509274005889893,-74.42664337158203,-15742,1012,-28719,28726,-379,-15758,0.9786655902862549,0.3170625865459442,0.062488116323947906,-2.6401925086975098,-0.030913710594177246,0.011598705314099789
-280.3244323730469,-18.457130432128906,-148.7566375732422,-41.34951400756836,2.8005716800689697,-74.22195434570312,-16066,1095,-28536,28550,-145,-16079,0.9778352379798889,0.3101232051849365,0.16600757837295532,-2.628819704055786,-0.033432841300964355,0.004452461842447519
-284.5096740722656,-18.17352867126465,-156.1677703857422,-42.32902908325195,2.901463508605957,-74.00418853759766,-16386,1145,-28351,28370,92,-16394,0.9924295544624329,0.30277007818222046,0.30396226048469543,-2.6175196170806885,-0.03495466709136963,-0.0028225721325725317
-288.79266357421875,-17.873661041259766,-163.55618286132812,-43.31148910522461,3.0625064373016357,-73.76509857177734,-16708,1189,-28161,28185,353,-16707,1.0502023696899414,0.29304617643356323,0.18156875669956207,-2.60611629486084,-0.03632307052612305,-0.010783188045024872
-293.1745910644531,-17.55794334411621,-170.9191436767578,-44.29262161254883,3.275759220123291,-73.50018310546875,-17023,1264,-27969,27997,568,-17014,0.9710465669631958,0.29527726769447327,0.2427913248538971,-2.5948386192321777,-0.03860819339752197,-0.017377028241753578
-297.65313720703125,-17.219188690185547,-178.25535583496094,-45.261329650878906,3.489611864089966,-73.22161865234375,-17332,1326,-27775,27806,614,-17322,1.050428032875061,0.27338215708732605,0.2406005859375,-2.5836877822875977,-0.04049038887023926,-0.01878371089696884
-311.5295104980469,-15.997225761413574,-200.16989135742188,-46.75063705444336,4.692955017089844,-73.14350128173828,-17618,1798,-27568,27624,670,-17610,0.047199100255966187,0.23658032715320587,0.2802363336086273,-2.5729410648345947,-0.05492961406707764,-0.0204978808760643
-316.2104797363281,-15.52326488494873,-207.49537658691406,-46.8646354675293,4.769939422607422,-73.37232208251953,-17599,1908,-27573,27635,686,-17591,-0.0992090031504631,0.3456968665122986,0.16427066922187805,-2.5734944343566895,-0.05828273296356201,-0.02098633535206318
-320.9016418457031,-15.027814865112305,-214.84288024902344,-46.943172454833984,5.022546291351318,-73.57760620117188,-17576,1910,-27588,27645,380,-17586,-0.07566627860069275,0.24212227761745453,-0.035411298274993896,-2.574343204498291,-0.058339715003967285,-0.011618056334555149
-325.59979248046875,-14.515878677368164,-222.21176147460938,-47.0206413269043,5.302857875823975,-73.7863540649414,-17565,2012,-27587,27648,303,-17581,-0.031675562262535095,0.24535435438156128,0.4413309097290039,-2.5746207237243652,-0.061457037925720215,-0.009289553388953209
-339.8055114746094,-12.745506286621094,-244.3885040283203,-48.13386917114258,6.576007843017578,-73.73483276367188,-17969,2477,-27287,27384,511,-17986,1.0395607948303223,0.22026187181472778,0.38956600427627563,-2.559252977371216,-0.07568633556365967,-0.015652429312467575
-344.6757507324219,-12.06950569152832,-251.73443603515625,-49.293968200683594,6.793455123901367,-73.16522216796875,-18426,2549,-26974,27074,465,-18450,1.443342685699463,0.1848505735397339,-0.2118409276008606,-2.5422873497009277,-0.07787477970123291,-0.014261619187891483
-349.6739807128906,-11.385055541992188,-259.0135498046875,-50.62941360473633,6.95145320892334,-72.42817687988281,-18910,2572,-26635,26733,377,-18943,1.5721290111541748,0.16214728355407715,0.33585456013679504,-2.5242035388946533,-0.07857656478881836,-0.011545749381184578
-360.0714111328125,-9.934062004089355,-273.3355407714844,-53.325721740722656,7.534295082092285,-70.77143096923828,-19836,2800,-25930,26039,283,-19888,1.7252044677734375,0.15051013231277466,0.1279352903366089,-2.4885714054107666,-0.08557653427124023,-0.008695397526025772
-365.467041015625,-9.129077911376953,-280.35894775390625,-54.54158020019531,8.746835708618164,-69.73908233642578,-20312,3215,-25509,25652,326,-20384,1.5912957191467285,0.16716140508651733,1.4759297370910645,-2.469135284423828,-0.09829950332641602,-0.01002607773989439
-382.4442443847656,-6.189396858215332,-300.77777099609375,-58.77005386352539,10.536763191223145,-66.19910430908203,-21906,3862,-24059,24297,1006,-21961,2.2897210121154785,0.06503117084503174,0.8439544439315796,-2.403017282485962,-0.11814892292022705,-0.03092753328382969
-394.51043701171875,-3.93753981590271,-313.723876953125,-61.740211486816406,11.833941459655762,-63.34745407104492,-22907,4329,-23025,23323,1154,-22985,2.1029481887817383,-0.021420717239379883,-0.015058159828186035,-2.3587820529937744,-0.13252019882202148,-0.03556811437010765
-400.762451171875,-2.7892537117004395,-319.99017333984375,-63.269683837890625,11.136497497558594,-61.978431701660156,-23495,4074,-22473,22740,1176,-23561,2.260755777359009,0.06896138191223145,-0.4815933108329773,-2.333955764770508,-0.12466847896575928,-0.036203641444444656
-407.1690979003906,-1.7055062055587769,-326.1136474609375,-64.8179931640625,10.600252151489258,-60.544551849365234,-24025,3886,-21939,22191,1288,-24073,2.0096287727355957,0.1739215850830078,-0.515417218208313,-2.31083607673645,-0.11890137195587158,-0.03962274268269539
-413.7187194824219,-0.6464043855667114,-332.0958557128906,-66.11478424072266,10.675372123718262,-59.164573669433594,-24470,3900,-21439,21698,1373,-24514,1.744579792022705,0.08173972368240356,0.1874459981918335,-2.290287733078003,-0.11932575702667236,-0.04224402457475662
-420.3839416503906,0.4102623164653778,-337.9626159667969,-67.04032897949219,10.467704772949219,-58.31415557861328,-24677,3880,-21205,21470,1537,-24704,0.8502514362335205,0.1387430727481842,-0.11037693917751312,-2.280668020248413,-0.11869204044342041,-0.047284021973609924
-427.10736083984375,1.4569820165634155,-343.7816467285156,-67.30686950683594,10.391916275024414,-58.21607208251953,-24620,3818,-21282,21541,1548,-24642,-0.18501892685890198,0.1280544400215149,-0.25876104831695557,-2.283616542816162,-0.1167982816696167,-0.04760102182626724
-440.4908142089844,3.5177462100982666,-355.5511779785156,-66.21160888671875,10.197234153747559,-59.802452087402344,-24015,3755,-21973,22228,1594,-24021,-1.6639831066131592,0.09710276126861572,-0.1293523907661438,-2.311821222305298,-0.11487531661987305,-0.048999249935150146
-453.36224365234375,5.5244927406311035,-367.6360778808594,-61.24238967895508,9.634818077087402,-59.38978958129883,-23170,3707,-22870,23113,1468,-23179,-1.1968209743499756,-4.435417652130127,0.19598762691020966,-2.3496620655059814,-0.11339747905731201,-0.045117974281311035
-459.314697265625,6.456248760223389,-373.4527893066406,-57.989437103271484,9.013317108154297,-56.9078483581543,-23206,3650,-22843,23072,1315,-23229,-0.2151702642440796,-4.131789207458496,-0.20663940906524658,-2.3483095169067383,-0.11164259910583496,-0.04039968550205231
-464.96533203125,7.331301212310791,-378.99957275390625,-55.143409729003906,8.472600936889648,-54.105377197265625,-23248,3589,-22810,23030,1274,-23273,0.1336076259613037,-4.181457996368408,0.04031291604042053,-2.346674680709839,-0.10975432395935059,-0.03914148733019829
-470.3437805175781,8.151853561401367,-384.26690673828125,-52.5107536315918,8.008402824401855,-51.252315521240234,-23309,3544,-22754,22968,1243,-23335,0.43624210357666016,-4.050246238708496,0.16024503111839294,-2.344132900238037,-0.1083836555480957,-0.038194913417100906
-480.379638671875,9.647106170654297,-393.890380859375,-48.02570343017578,7.024648666381836,-45.077064514160156,-23854,3467,-22195,22399,1214,-23884,0.7487829923629761,-3.9260263442993164,0.043572813272476196,-2.3201756477355957,-0.10603678226470947,-0.03728875890374184
-485.0685119628906,10.326305389404297,-398.2583923339844,-45.76060104370117,6.631722927093506,-42.40225601196289,-23961,3450,-22081,22285,1246,-23988,0.271396279335022,-3.8373661041259766,0.14554685354232788,-2.3153765201568604,-0.10550069808959961,-0.0382772758603096
-489.52386474609375,10.967808723449707,-402.3680725097656,-43.4163818359375,6.205705642700195,-39.92859649658203,-23991,3440,-22051,22250,1173,-24024,0.13296115398406982,-3.2126498222351074,-0.12537650763988495,-2.3140947818756104,-0.1051856279373169,-0.036010004580020905
-493.7486572265625,11.572833061218262,-406.2559814453125,-41.137733459472656,5.916231155395508,-37.93822479248047,-23910,3423,-22141,22336,1127,-23947,-0.14460206031799316,-2.956056594848633,0.08623022586107254,-2.317793130874634,-0.10466933250427246,-0.0346052460372448
-497.73394775390625,12.14523696899414,-409.9455261230469,-38.71744155883789,5.559971332550049,-35.97027587890625,-23841,3426,-22215,22406,1030,-23886,-0.12942159175872803,-2.59492826461792,0.11788902431726456,-2.3209142684936523,-0.10475599765777588,-0.03162787854671478
-505.028564453125,13.2028226852417,-416.8069763183594,-34.22932052612305,5.032207489013672,-32.83880615234375,-23502,3429,-22572,22759,949,-23553,-0.5856953859329224,-2.9881057739257812,-0.08433958888053894,-2.336014986038208,-0.10485494136810303,-0.02915179170668125
-508.340087890625,13.692212104797363,-420.0243835449219,-32.112159729003906,4.7414093017578125,-31.524900436401367,-23188,3456,-22891,23076,859,-23246,-0.5012200474739075,-2.229865550994873,-0.08374354243278503,-2.3497493267059326,-0.10567212104797363,-0.026382626965641975
-514.367919921875,14.595991134643555,-426.0551452636719,-28.000288009643555,4.299350261688232,-28.789569854736328,-22748,3444,-23330,23508,720,-22814,-0.7903405427932739,-2.887106418609619,0.19838416576385498,-2.368833541870117,-0.10530197620391846,-0.022105585783720016
-521.7273559570312,15.759369850158691,-434.2329406738281,-20.836835861206055,3.4968347549438477,-26.003751754760742,-20441,3399,-25382,25538,302,-20526,-1.4272698163986206,-2.2415308952331543,-0.09592170268297195,-2.4636054039001465,-0.103920578956604,-0.009290112182497978
-523.6668090820312,16.102680206298828,-436.8027038574219,-18.0294189453125,3.366896152496338,-25.38628578186035,-18998,3476,-26469,26622,39,-19102,-1.7196838855743408,-2.1546578407287598,-0.07779710739850998,-2.519068956375122,-0.10629868507385254,-0.001211431110277772
-525.3345336914062,16.426788330078125,-439.3033752441406,-15.349206924438477,3.1755783557891846,-24.740102767944336,-17255,3503,-27634,27781,-196,-17372,-2.2761342525482178,-1.6941325664520264,0.12694741785526276,-2.5834033489227295,-0.10711860656738281,0.006023109890520573
-526.7432250976562,16.730178833007812,-441.75244140625,-13.015538215637207,2.838311195373535,-24.223377227783203,-15385,3420,-28727,28864,-378,-15504,-1.8064167499542236,-1.5219287872314453,-0.15639063715934753,-2.6498801708221436,-0.10457193851470947,0.011609811335802078
-527.890869140625,17.020336151123047,-444.14453125,-10.35996150970459,2.783294677734375,-23.616785049438477,-13244,3511,-29764,29900,-684,-13385,-1.097488284111023,-1.1907765865325928,-0.6205974221229553,-2.722935438156128,-0.10737419128417969,0.02102712169289589
-528.8084106445312,17.285310745239258,-446.4701843261719,-7.697274684906006,2.7089738845825195,-22.742145538330078,-11069,3490,-30642,30776,-840,-11214,-2.5606062412261963,-2.4507386684417725,0.5006148815155029,-2.7949271202087402,-0.10671401023864746,0.025800909847021103
-529.9207153320312,17.77820587158203,-450.92340087890625,-3.4291207790374756,2.306364059448242,-22.13562774658203,-5987,3464,-32028,32163,-1199,-6142,-1.7143231630325317,-0.47496771812438965,-0.31201115250587463,-2.956768035888672,-0.10592854022979736,0.03681004047393799
-529.8568115234375,18.484241485595703,-457.3841552734375,3.704777240753174,2.336949586868286,-20.57141876220703,4078,3856,-32282,32482,-1872,3880,-2.94905161857605,-0.7272148132324219,0.5147075653076172,3.0159218311309814,-0.11796355247497559,0.05757880583405495
-529.35400390625,18.728742599487305,-459.3818359375,6.0755934715271,2.429427146911621,-19.465240478515625,7827,3839,-31585,31802,-1957,7642,-1.887615442276001,-0.5341024398803711,-0.17271089553833008,2.8986830711364746,-0.11744105815887451,0.06017593294382095
-528.6513671875,18.958789825439453,-461.2723083496094,8.030194282531738,2.2488934993743896,-18.260700225830078,11690,3933,-30356,30603,-2169,11505,-2.73298978805542,-0.6652652025222778,0.31861555576324463,2.7739787101745605,-0.12032079696655273,0.06673857569694519
-527.73828125,19.184673309326172,-463.0151672363281,10.083043098449707,2.22088623046875,-16.657394409179688,15297,3786,-28728,28974,-2440,15106,-2.477808952331543,-0.5549252033233643,0.14270952343940735,2.652308464050293,-0.11583137512207031,0.07505257427692413
-526.6492919921875,19.392353057861328,-464.60540771484375,11.612223625183105,1.9277080297470093,-15.173651695251465,18601,3490,-26748,26974,-2560,18425,-2.2245230674743652,-0.547828733921051,-0.025369644165039062,2.5339295864105225,-0.10671913623809814,0.07866489142179489
-524.0462646484375,19.727510452270508,-467.2955017089844,14.23584270477295,1.3974837064743042,-11.87467098236084,24188,2576,-21953,22104,-3013,24000,-1.852097511291504,-0.1331537961959839,-0.06727717816829681,2.307809829711914,-0.07869935035705566,0.09239163994789124
-522.5758056640625,19.858402252197266,-468.4241943359375,15.120317459106445,1.1912730932235718,-10.741048812866211,25967,2197,-19862,19983,-3084,25784,-1.3963704109191895,-0.04371047019958496,-0.2210596352815628,2.2237720489501953,-0.06711852550506592,0.09449800848960876
-519.3927001953125,20.06315803527832,-470.34796142578125,16.612987518310547,0.9150010347366333,-8.59438419342041,28340,1685,-16360,16447,-3065,28173,-1.2598435878753662,0.07042181491851807,0.016442641615867615,2.094357967376709,-0.05146932601928711,0.09380292892456055
-517.69775390625,20.148048400878906,-471.1549072265625,17.283315658569336,0.8523291945457458,-7.510315418243408,29375,1541,-14435,14517,-2996,29222,-1.4552996158599854,-0.0005553364753723145,0.30677157640457153,2.0275416374206543,-0.04706740379333496,0.09168337285518646
-515.9342041015625,20.23295783996582,-471.8536682128906,18.006744384765625,0.8051729202270508,-6.465429782867432,30299,1545,-12378,12471,-3066,30145,-1.4761115312576294,0.2195938527584076,0.08905786275863647,1.9586279392242432,-0.04718780517578125,0.09382469952106476
-514.098876953125,20.308578491210938,-472.4427795410156,18.66712760925293,0.7606471180915833,-5.350966930389404,31045,1450,-10379,10472,-3088,30894,-1.219383716583252,0.23511120676994324,0.29342615604400635,1.893435001373291,-0.04427897930145264,0.09448298066854477
-512.2071533203125,20.390470504760742,-472.9354248046875,19.143577575683594,0.7703081965446472,-4.571422100067139,31588,1347,-8605,8698,-3189,31430,-0.6880632638931274,0.280082106590271,-0.22641803324222565,1.836761713027954,-0.04115021228790283,0.09756498783826828
-497.2562561035156,20.77117347717285,-475.49566650390625,24.445356369018555,0.34672030806541443,-3.872734546661377,32346,489,-5206,5229,-2677,32236,-0.038534194231033325,0.9533931612968445,-0.3034396171569824,1.7303926944732666,-0.014938592910766602,0.08180978894233704
-494.75103759765625,20.803197860717773,-475.89141845703125,25.67753791809082,0.3702698051929474,-4.022477626800537,32358,434,-5139,5157,-2555,32257,-0.11252211034297943,1.3528110980987549,0.10134756565093994,1.7283003330230713,-0.013261198997497559,0.07808652520179749
-483.5089416503906,20.911664962768555,-477.58184814453125,30.498605728149414,0.1129022166132927,-4.390772819519043,32426,190,-4705,4708,-2018,32364,-0.04807162284851074,1.2998850345611572,-0.13868224620819092,1.714900016784668,-0.005818724632263184,0.06164858862757683
-474.483154296875,20.940696716308594,-478.8467712402344,33.467159271240234,0.07481513917446136,-4.564192295074463,32460,85,-4468,4466,-1619,32420,-0.11147283017635345,1.2351274490356445,0.07947627454996109,1.7075854539871216,-0.0026227235794067383,0.04944007843732834
-471.0732727050781,20.948083877563477,-479.3051452636719,34.724422454833984,0.07604124397039413,-4.616682052612305,32476,92,-4355,4355,-1516,32440,-0.08318008482456207,1.3931180238723755,0.04455859214067459,1.7041125297546387,-0.002812504768371582,0.046285051852464676
-467.53076171875,20.956844329833984,-479.76953125,36.099308013916016,0.10101397335529327,-4.667125225067139,32492,112,-4230,4231,-1400,32462,-0.13229188323020935,1.4480987787246704,0.11343923956155777,1.7002694606781006,-0.003428816795349121,0.04276811704039574
-463.8455810546875,20.971384048461914,-480.2376403808594,37.56045913696289,0.16214923560619354,-4.691207408905029,32511,183,-4078,4082,-1370,32482,-0.16306129097938538,1.5493957996368408,0.08490142971277237,1.69558846950531,-0.0055959224700927734,0.04182630404829979
-456.03509521484375,21.019817352294922,-481.17626953125,40.46937942504883,0.23646362125873566,-4.689311981201172,32548,186,-3770,3775,-1543,32512,-0.1818002313375473,1.4669914245605469,0.010936920531094074,1.6861320734024048,-0.005700588226318359,0.04713205620646477
-451.9222106933594,21.027130126953125,-481.6422424316406,41.79802703857422,0.002244191709905863,-4.594945430755615,32570,-27,-3583,3578,-1596,32531,-0.3403512239456177,1.522547960281372,0.09559941291809082,1.680389404296875,0.000841975212097168,0.048749033361673355
-447.67059326171875,21.02389907836914,-482.0907897949219,43.22888946533203,-0.032054949551820755,-4.359509468078613,32602,26,-3276,3273,-1614,32563,-0.4282536506652832,1.4413886070251465,0.06776485592126846,1.6709604263305664,-0.0007987022399902344,0.04929376766085625
-429.5489196777344,20.845626831054688,-483.4296569824219,47.76165771484375,-1.0417550802230835,-1.728824257850647,32742,-683,-1064,1035,-1338,32723,-1.1353198289871216,1.2663066387176514,-0.10540501773357391,1.6032875776290894,0.020859360694885254,0.04087936133146286
-419.7477722167969,20.618534088134766,-483.5910949707031,50.16313934326172,-1.277848482131958,-0.14836427569389343,32757,-784,-50,21,-1184,32745,-0.48181962966918945,1.1159306764602661,-0.24773076176643372,1.5723322629928589,0.023929715156555176,0.036176733672618866
-409.48419189453125,20.348522186279297,-483.530517578125,52.41602325439453,-1.4103963375091553,0.669008731842041,32753,-840,427,-452,-986,32749,-0.2837524712085724,1.089730143547058,-0.02791745960712433,1.5577577352523804,0.02565586566925049,0.03012450411915779
-398.7860412597656,20.06595802307129,-483.3329162597656,54.50687789916992,-1.460750937461853,1.2686975002288818,32747,-835,775,-798,-892,32745,-0.24212658405303955,1.0221409797668457,-0.09017308801412582,1.5471081733703613,0.025516152381896973,0.027261976152658463
-387.7493896484375,19.750490188598633,-483.0443115234375,56.09548568725586,-1.67543625831604,1.586085319519043,32740,-931,932,-961,-1006,32737,-0.09579621255397797,1.016191840171814,-0.036293283104896545,1.5423195362091064,0.028443217277526855,0.030719418078660965
-382.089111328125,19.581098556518555,-482.87896728515625,57.080074310302734,-1.7084980010986328,1.7132874727249146,32738,-933,982,-1010,-990,32736,-0.09339965879917145,1.0020737648010254,0.009145556017756462,1.54079270362854,0.028489351272583008,0.030249955132603645
-376.331298828125,19.406789779663086,-482.7013244628906,58.0444221496582,-1.7918124198913574,1.8333096504211426,32736,-976,1029,-1055,-891,32737,-0.10650627315044403,0.9777449369430542,-0.061609961092472076,1.5393682718276978,0.029790520668029785,0.027233004570007324
-370.4787292480469,19.213123321533203,-482.51263427734375,58.97700119018555,-2.0951669216156006,1.9393633604049683,32730,-1103,1073,-1101,-831,32737,-0.08332215249538422,0.969018816947937,-0.43345749378204346,1.538014531135559,0.03368830680847168,0.02538127452135086
-364.5341491699219,18.98661231994629,-482.31072998046875,59.886070251464844,-2.425049304962158,2.1238107681274414,32721,-1275,1162,-1196,-847,32734,-0.2353200912475586,0.9402890205383301,-0.22127051651477814,1.5352797508239746,0.03894317150115967,0.025884637609124184
-358.5003662109375,18.731731414794922,-482.08074951171875,60.76240921020508,-2.6331920623779297,2.493403911590576,32709,-1380,1373,-1411,-871,32724,-0.42173662781715393,0.8931615352630615,0.012483901344239712,1.5288151502609253,0.04215514659881592,0.02661626599729061
-352.3796081542969,18.463350296020508,-481.8095397949219,61.62483596801758,-2.706145763397217,2.911992073059082,32700,-1370,1580,-1620,-930,32713,-0.35014861822128296,0.8963307738304138,-0.009647003374993801,1.522493839263916,0.04183948040008545,0.028417499735951424
-346.1745910644531,18.189983367919922,-481.4982604980469,62.445533752441406,-2.805840253829956,3.31300950050354,32689,-1419,1755,-1795,-908,32705,-0.45041561126708984,0.8493112921714783,-0.1506517380475998,1.5171598196029663,0.043349385261535645,0.027750415727496147
-339.890625,17.89189910888672,-481.1386413574219,63.21304702758789,-3.1613523960113525,3.8942551612854004,32664,-1576,2059,-2105,-922,32686,-0.6352102160453796,0.8390120267868042,-0.2525438070297241,1.5078296661376953,0.04813218116760254,0.028187168762087822
-333.5314636230469,17.564695358276367,-480.7113342285156,63.9479866027832,-3.377216339111328,4.642919063568115,32633,-1649,2450,-2500,-955,32657,-0.7440927028656006,0.8084622025489807,-0.11284667253494263,1.4958422183990479,0.050354838371276855,0.02921675704419613
-327.1000061035156,17.230453491210938,-480.2080383300781,64.6579818725586,-3.2847297191619873,5.387755393981934,32607,-1635,2788,-2836,-916,32631,-0.6864434480667114,0.7471457123756409,0.16553203761577606,1.4854938983917236,0.0499415397644043,0.028021669015288353
-320.597900390625,16.900646209716797,-479.6357727050781,65.35481262207031,-3.3355114459991455,6.012211322784424,32584,-1605,3052,-3101,-947,32606,-0.4683038294315338,0.7551224827766418,-0.12725645303726196,1.4773756265640259,0.049008965492248535,0.028951548039913177
-300.6758728027344,15.835299491882324,-477.5962219238281,67.46871185302734,-3.5466811656951904,7.42818546295166,32523,-1689,3611,-3662,-937,32548,-0.22660456597805023,0.7560420036315918,-0.011649739928543568,1.460214376449585,0.05157124996185303,0.02864959090948105
-280.1618957519531,14.785979270935059,-475.2615661621094,69.29645538330078,-3.1788721084594727,8.247891426086426,32504,-1459,3874,-3921,-1004,32516,-0.4528177082538605,0.7600656747817993,0.2280692160129547,1.4521533250808716,0.04456984996795654,0.030678430572152138
-259.05340576171875,13.760417938232422,-472.3927307128906,71.076416015625,-3.1734566688537598,10.823944091796875,32352,-1400,5001,-5050,-1111,32356,-0.5660600662231445,0.6929660439491272,0.6400497555732727,1.4174197912216187,0.042757511138916016,0.033965229988098145
-244.71755981445312,13.200906753540039,-470.1166687011719,72.24872589111328,-2.7938263416290283,11.831319808959961,32307,-1218,5331,-5365,-873,32312,-0.2554137706756592,0.6453636884689331,-0.14021803438663483,1.4072571992874146,0.03719174861907959,0.02668624185025692
-237.4629669189453,12.911602973937988,-468.9188232421875,72.82862854003906,-2.9101407527923584,12.094374656677246,32296,-1279,5380,-5415,-847,32305,-0.11434565484523773,0.6019906401634216,0.19781923294067383,1.4057244062423706,0.03906214237213135,0.02588019147515297
-222.7716827392578,12.335389137268066,-466.46990966796875,74.00247955322266,-2.7630629539489746,12.350613594055176,32299,-1193,5385,-5418,-850,32304,0.010776497423648834,0.5807596445083618,0.34293127059936523,1.4055663347244263,0.036443352699279785,0.0259806327521801
-215.33372497558594,12.06745433807373,-465.227783203125,74.56805419921875,-2.54360032081604,12.4554443359375,32302,-1084,5389,-5416,-801,32306,0.018153712153434753,0.55801922082901,0.47451460361480713,1.4054813385009766,0.03309345245361328,0.024472329765558243
-200.30650329589844,11.583975791931152,-462.7166748046875,75.49890899658203,-2.386143684387207,12.618363380432129,32304,-1011,5391,-5415,-712,32308,-0.010618902742862701,0.5454871654510498,0.08651367574930191,1.4054090976715088,0.030888676643371582,0.021756093949079514
-192.7161407470703,11.345073699951172,-461.4481506347656,76.0516586303711,-2.346423625946045,12.71032428741455,32305,-989,5392,-5414,-680,32309,-0.00677066296339035,0.5477136969566345,0.21211515367031097,1.4053846597671509,0.030200839042663574,0.020774252712726593
