m_speed,m_throttle,m_steer,m_brake,m_clutch,m_gear,m_engineRPM,m_drs,m_revLightsPercent,m_revLightsBitValue,m_brakesTemperature,m_tyresSurfaceTemperature,m_tyresInnerTemperature,m_engineTemperature,m_tyresPressure,m_surfaceType
253,1,-0.010272420942783356,0,0,6,11590,1,67,25599,"744,742,675,674","100,100,100,100","100,100,100,100",110,"20.575702667236328,20.575702667236328,23.008298873901367,23.008298873901367","0,0,0,0"
255,1,-0.026874877512454987,0,0,6,11721,1,82,32767,"739,737,666,665","100,100,100,100","100,100,100,100",110,"20.575702667236328,20.575702667236328,23.008298873901367,23.008298873901367","0,0,0,0"
258,1,-0.005745632108300924,0,0,6,11812,1,92,32767,"735,733,658,658","100,100,100,100","100,100,100,100",110,"20.575702667236328,20.575702667236328,23.008298873901367,23.008298873901367","0,0,0,0"
262,1,0.010021903552114964,0,0,6,12008,1,100,32767,"726,725,643,642","100,100,100,100","100,100,100,100",110,"20.575702667236328,20.575702667236328,23.008298873901367,23.008298873901367","0,0,0,0"
266,1,0.02341505140066147,0,0,6,12188,1,100,32767,"718,716,628,627","100,100,100,100","100,100,100,100",110,"20.575702667236328,20.575702667236328,23.008298873901367,23.008298873901367","0,0,0,0"
268,1,0.02181837521493435,0,0,6,12270,1,100,32767,"713,712,621,620","100,100,100,100","100,100,100,100",110,"20.575702667236328,20.575702667236328,23.008298873901367,23.008298873901367","0,0,0,0"
269,1,0.048255857080221176,0,0,7,10861,1,0,24576,"709,707,613,612","100,100,100,100","100,100,100,100",110,"20.575702667236328,20.575702667236328,23.008298873901367,23.008298873901367","0,0,0,0"
271,1,0.05972820147871971,0,0,7,10940,1,0,24576,"705,703,606,605","100,100,100,100","100,100,100,100",110,"20.575702667236328,20.575702667236328,23.008298873901367,23.008298873901367","0,0,0,0"
272,1,0.05173623189330101,0,0,7,11008,1,3,24576,"700,699,598,598","100,100,100,100","100,100,100,100",110,"20.575702667236328,20.575702667236328,23.008298873901367,23.008298873901367","0,0,0,0"
274,1,0.07187744230031967,0,0,7,11076,1,10,24577,"696,695,591,590","100,100,100,100","100,100,100,100",110,"20.575702667236328,20.575702667236328,23.008298873901367,23.008298873901367","0,0,0,0"
276,1,0.08662951737642288,0,0,7,11145,1,18,24579,"692,690,584,583","100,100,100,100","100,100,100,100",110,"20.575702667236328,20.575702667236328,23.008298873901367,23.008298873901367","0,0,0,0"
277,1,0.03254365175962448,0,0,7,11203,1,24,24583,"687,686,577,576","100,100,100,100","100,100,100,100",110,"20.575702667236328,20.575702667236328,23.008298873901367,23.008298873901367","0,0,0,0"
