m_lastLapTimeInMS,m_currentLapTimeInMS,m_sector1TimeInMS,m_sector1TimeMinutes,m_sector2TimeInMS,m_sector2TimeMinutes,m_deltaToCarInFrontInMS,m_deltaToRaceLeaderInMS,m_lapDistance,m_totalDistance,m_safetyCarDelta,m_carPosition,m_currentLapNum,m_pitStatus,m_numPitStops,m_sector,m_currentLapInvalid,m_penalties,m_totalWarnings,m_cornerCuttingWarnings,m_numUnservedDriveThroughPens,m_numUnservedStopGoPens,m_gridPosition,m_driverStatus,m_resultStatus,m_pitLaneTimerActive,m_pitLaneTimeInLaneInMS,m_pitStopTimerInMS,m_pitStopShouldServePen
66606,11528,0,0,0,0,0,0,744.47265625,48302.82421875,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,12028,0,0,0,0,0,0,781.16796875,48339.51953125,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,12228,0,0,0,0,0,0,796.1640625,48354.515625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,12528,0,0,0,0,0,0,819.01953125,48377.37109375,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,12728,0,0,0,0,0,0,834.484375,48392.8359375,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,12928,0,0,0,0,0,0,850.14453125,48408.49609375,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,13328,0,0,0,0,0,0,882.078125,48440.4296875,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,13428,0,0,0,0,0,0,890.1640625,48448.515625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,13528,0,0,0,0,0,0,898.27734375,48456.62890625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,13728,0,0,0,0,0,0,914.61328125,48472.96484375,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,13828,0,0,0,0,0,0,922.83984375,48481.19140625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,14328,0,0,0,0,0,0,964.44140625,48522.79296875,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,14828,0,0,0,0,0,0,1006.65625,48565.0078125,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,15328,0,0,0,0,0,0,1049.6875,48608.0390625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,15528,0,0,0,0,0,0,1067.2109375,48625.5625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,15928,0,0,0,0,0,0,1102.68359375,48661.03515625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,16428,0,0,0,0,0,0,1147.35546875,48705.70703125,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,16528,0,0,0,0,0,0,1156.3046875,48714.65625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,17241,17074,0,0,0,0,0,1218.9140625,48777.265625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,17541,17074,0,0,0,0,0,1245.734375,48804.0859375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,17641,17074,0,0,0,0,0,1254.6875,48813.0390625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,17941,17074,0,0,0,0,0,1281.4375,48839.7890625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,18041,17074,0,0,0,0,0,1289.8125,48848.1640625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,18841,17074,0,0,0,0,0,1343.1015625,48901.453125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,18941,17074,0,0,0,0,0,1348.26953125,48906.62109375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,19041,17074,0,0,0,0,0,1353.16796875,48911.51953125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,19341,17074,0,0,0,0,0,1366.37890625,48924.73046875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,19541,17074,0,0,0,0,0,1373.97265625,48932.32421875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,20541,17074,0,0,0,0,0,1402.04296875,48960.39453125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,20841,17074,0,0,0,0,0,1411.81640625,48970.16796875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,21041,17074,0,0,0,0,0,1415.9765625,48974.328125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,22041,17074,0,0,0,0,0,1434.453125,48992.8046875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,22141,17074,0,0,0,0,0,1436.46875,48994.8203125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,22341,17074,0,0,0,0,0,1440.65625,48999.0078125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,22741,17074,0,0,0,0,0,1450.09765625,49008.44921875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,23224,17074,0,0,0,0,0,1463.99609375,49022.34765625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,23324,17074,0,0,0,0,0,1467.17578125,49025.52734375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,23524,17074,0,0,0,0,0,1473.8984375,49032.25,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,24024,17074,0,0,0,0,0,1493.0859375,49051.4375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,25624,17074,0,0,0,0,0,1574.2734375,49132.625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,25724,17074,0,0,0,0,0,1580.21484375,49138.56640625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,25924,17074,0,0,0,0,0,1592.37109375,49150.72265625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,26124,17074,0,0,0,0,0,1604.87890625,49163.23046875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,26424,17074,0,0,0,0,0,1624.2578125,49182.609375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,26824,17074,0,0,0,0,0,1651.15625,49209.5078125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,27024,17074,0,0,0,0,0,1665.01171875,49223.36328125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,27224,17074,0,0,0,0,0,1679.17578125,49237.52734375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,27325,17074,0,0,0,0,0,1686.37109375,49244.72265625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,27525,17074,0,0,0,0,0,1700.90625,49259.2578125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,27725,17074,0,0,0,0,0,1715.6953125,49274.046875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,27825,17074,0,0,0,0,0,1723.1875,49281.5390625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,28125,17074,0,0,0,0,0,1745.98828125,49304.33984375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,28525,17074,0,0,0,0,0,1777.09375,49335.4453125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,28625,17074,0,0,0,0,0,1784.99609375,49343.34765625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,28726,17074,0,0,0,0,0,1792.953125,49351.3046875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,29026,17074,0,0,0,0,0,1817.10546875,49375.45703125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,29126,17074,0,0,0,0,0,1825.2421875,49383.59375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
