m_speed,m_throttle,m_steer,m_brake,m_clutch,m_gear,m_engineRPM,m_drs,m_revLightsPercent,m_revLightsBitValue,m_brakesTemperature,m_tyresSurfaceTemperature,m_tyresInnerTemperature,m_engineTemperature,m_tyresPressure,m_surfaceType
0.3336395600634156,0.6030586804557893,-0.24545478810493895,-0.34039106092349947,-0.07837414205275962,0.3285194888234599,0.21126829855551585,1.5954480704349312,0.44210303713522986,0.6769888949418637,-0.04911867154057883,0.0,0.0,0.0,0.0,-0.3039441317862538
0.3627847576200192,0.6030586804557893,-0.3125384742636594,-0.34039106092349947,-0.07837414205275962,0.3285194888234599,0.3075178292719608,1.5954480704349312,0.8094010564228675,1.1735502445103498,-0.08824843516763885,0.0,0.0,0.0,0.0,-0.3039441317862538
0.4065025539549247,0.6030586804557893,-0.22716389963281067,-0.34039106092349947,-0.07837414205275962,0.3285194888234599,0.3743781903039951,1.5954480704349312,1.054266402614626,1.1735502445103498,-0.12039074100415242,0.0,0.0,0.0,0.0,-0.3039441317862538
0.46479294906813196,0.6030586804557893,-0.1634537848494362,-0.34039106092349947,-0.07837414205275962,0.3285194888234599,0.5183851217576074,1.5954480704349312,1.2501586795680326,1.1735502445103498,-0.18747033579339817,0.0,0.0,0.0,0.0,-0.3039441317862538
0.5230833441813393,0.6030586804557893,-0.10933759287634633,-0.34039106092349947,-0.07837414205275962,0.3285194888234599,0.6506363853374555,1.5954480704349312,1.2501586795680326,1.1735502445103498,-0.25315243902453466,0.0,0.0,0.0,0.0,-0.3039441317862538
0.5522285417379429,0.6030586804557893,-0.11578910345196099,-0.34039106092349947,-0.07837414205275962,0.3285194888234599,0.7108841831904974,1.5954480704349312,1.2501586795680326,1.1735502445103498,-0.2852947448610482,0.0,0.0,0.0,0.0,-0.3039441317862538
0.5668011405162448,0.6030586804557893,-0.008966132475633725,-0.34039106092349947,-0.07837414205275962,0.8550507243350329,-0.3243493189428688,1.5954480704349312,-1.1984947823495518,0.606120834031071,-0.3202320338137804,0.0,0.0,0.0,0.0,-0.3039441317862538
0.5959463380728484,0.6030586804557893,0.03738888419939906,-0.34039106092349947,-0.07837414205275962,0.8550507243350329,-0.26630570881615767,1.5954480704349312,-1.1984947823495518,0.606120834031071,-0.35097684809218466,0.0,0.0,0.0,0.0,-0.3039441317862538
0.6105189368511502,0.6030586804557893,0.005096628098115863,-0.34039106092349947,-0.07837414205275962,0.8550507243350329,-0.21634412035265954,1.5954480704349312,-1.125035178492024,0.606120834031071,-0.38451664548680753,0.0,0.0,0.0,0.0,-0.3039441317862538
0.6396641344077538,0.6030586804557893,0.08647896041328577,-0.34039106092349947,-0.07837414205275962,0.8550507243350329,-0.16638253188916138,1.5954480704349312,-0.9536294361577932,0.6061901087729193,-0.41665895132332115,0.0,0.0,0.0,0.0,-0.3039441317862538
