speed,rpm,gear,direction,position_x,position_y
,,6,-1.7928756760238962e-06,,
,,6,-6.483426662649125e-06,,
,,6,-7.486228641630671e-06,,
,,6,-5.737076498613458e-06,,
,,6,-1.6503790839609326e-06,,
,,6,2.157645765400366e-06,,
,,7,1.0579881659617136e-05,,
,,7,2.1004419380599185e-05,,
,,7,3.0034095271733208e-05,,
,,7,4.257907553226146e-05,,
,,7,5.7698778608583656e-05,,
,,7,6.337871734686259e-05,,
,,7,6.337871734686259e-05,,
,,7,5.883050731407134e-05,,
,,7,5.0230107503374216e-05,,
,,7,4.9650045124304955e-05,,
,,7,4.837912138903954e-05,,
,,7,4.6498481518871984e-05,,
,,7,4.8905417871400534e-05,,
,,7,4.945932477876719e-05,,
,,7,4.945932477876719e-05,,
,,7,4.9430459454505806e-05,,
,,7,4.814390265155243e-05,,
,,7,4.580549653390069e-05,,
,,7,4.189136005948492e-05,,
,,7,3.685694725249179e-05,,
,,7,3.189037938452856e-05,,
,,7,2.7009586304667646e-05,,
,,7,2.2133001227388518e-05,,
,,7,2.1829675769808547e-05,,
,,7,2.1829675769808547e-05,,
,,7,2.1829675769808547e-05,,
,,7,2.1838609338118e-05,,
,,7,2.062671824846589e-05,,
,,7,1.5896795259933984e-05,,
,,7,8.087958315610683e-06,,
,,7,1.433905315213486e-07,,
,,7,-8.153973926378242e-06,,
,,7,-1.7621466088603022e-05,,
,,7,-2.721096431826706e-05,,
,,7,-3.7139427168755424e-05,,
,,7,-4.746686288949385e-05,,
,,7,-5.811660547052735e-05,,
,,7,-6.839768879447064e-05,,
,,7,-7.81807798499577e-05,,
,,7,-7.764535715634225e-05,,
,,7,-7.344279597962595e-05,,
,,7,-6.687543683037568e-05,,
,,7,-5.586283399951819e-05,,
,,7,-4.817269042591687e-05,,
,,7,-4.818096122439708e-05,,
,,7,-4.833741616804014e-05,,
,,6,-4.852784340168608e-05,,
,,5,-5.017766974643273e-05,,
,,4,-5.017766974643273e-05,,
,,4,-4.905960233888183e-05,,
,,3,-4.281997910146524e-05,,
,,3,-3.20686950514569e-05,,
,,2,-1.6735519067893165e-05,,
,,2,7.603697902315953e-06,,
,,2,5.835739492069193e-05,,
,,2,0.0001242021283228946,,
,,2,0.0002610676671683021,,
,,2,0.0004116302908278264,,
,,2,0.0005744502798520085,,
,,2,0.0007483160103775656,,
,,2,0.0009228489355769986,,
,,2,0.0010973818607764316,,
,,2,0.0012719147859758645,,
,,2,0.0013595644004744433,,
,,2,0.001447214014973022,,
,,2,0.001537017065690228,,
,,2,0.0016268201164074338,,
,,2,0.001701541098103546,,
,,2,0.001749225013025874,,
,,2,0.0017816885175913034,,
,,2,0.0017882948943911924,,
,,2,0.0017896203261289984,,
,,2,0.001790341246388062,,
,,2,0.0017906797868235983,,
,,2,0.0017922911514265765,,
,,2,0.0017937523211561924,,
,,2,0.0017951553073828669,,
,,3,0.001796595888978714,,
,,3,0.0017985785620208774,,
,,3,0.0018010975016572051,,
,,3,0.001803548366188725,,
,,3,0.0018063206658439112,,
,,3,0.0018094596020281233,,
,,3,0.001812522566275736,,
,,3,0.00181550537106502,,
,,3,0.0018208856898765773,,
,,3,0.0018261328044704378,,
,,4,0.00183466959790342,,
,,4,0.0018466138064727293,,
,,4,0.0018548975144278125,,
,,4,0.0018593141522092978,,
,,4,0.001862713023253856,,
,,4,0.0018659361568753882,,
,,4,0.0018681483411207892,,
,,5,0.0018689262123743127,,
,,5,0.0018696644157913847,,
,,5,0.001870629544378896,,
,,5,0.0018756359494567151,,
,,5,0.0018795903915998652,,
,,5,0.0018830130978061425,,
,,5,0.0018863667162432084,,
,,5,0.0018871247405747899,,
,,5,0.0018878853362287154,,
,,6,0.0018890933791936332,,
,,6,0.0018938774737135475,,
,,6,0.0019016880687603092,,
,,6,0.0019040201979841221,,
,,6,0.0019045455786797655,,
,,6,0.0019045455786797655,,
,,6,0.0019045455786797655,,
,,6,0.0019045455786797655,,
,,7,0.0019044001149850632,,
,,7,0.0019034668494847774,,
,,7,0.0019026076065827506,,
,,7,0.0019026076065827506,,
,,7,0.0019026076065827506,,
,,7,0.0019025474451078949,,
,,7,0.0019016254268468954,,
,,7,0.0019004506558405866,,
,,7,0.001899214329792803,,
,,7,0.0018978029020411719,,
,,7,0.0018957082943098127,,
,,7,0.0018945418761593703,,
,,7,0.0018944601650732358,,
,,7,0.0018936107152699245,,
,,7,0.0018916239281770292,,
,,7,0.001889052351122745,,
,,7,0.0018853379722109382,,
,,7,0.0018853379722109382,,
,,7,0.0018853379722109382,,
,,7,0.0018853379722109382,,
,,7,0.0018853379722109382,,
,,7,0.0018853379722109382,,
,,7,0.0018847046290550505,,
,,7,0.0018833336518010433,,
,,7,0.001879039003832352,,
,,7,0.0018745624260709515,,
,,7,0.0018698653865550053,,
,,7,0.0018643563198993138,,
,,7,0.0018650155117204738,,
,,5,0.001869830757292875,,
,,5,0.0018766178759959927,,
,,5,0.0018920008250039137,,
,,4,0.001912995112945355,,
,,3,0.0019581145753869915,,
,,2,0.0020133218995828477,,
,,2,0.0020781408790405036,,
,,2,0.0021679463952623125,,
,,2,0.00227179825531104,,
,,2,0.002378371626725449,,
,,2,0.00248356251584789,,
,,2,0.0025904417242657647,,
,,2,0.002698411684403541,,
,,2,0.002806840217994489,,
,,2,0.002916008163697935,,
,,2,0.0030239143015963065,,
,,2,0.0031304183684045354,,
,,2,0.0032347383414326825,,
,,2,0.0033278901091612027,,
,,2,0.0034054348634476664,,
,,2,0.003458102676290618,,
,,2,0.0034895660624377355,,
,,2,0.003522552048520268,,
,,2,0.003542458765450805,,
,,2,0.0035609459056883696,,
,,2,0.0035790872784109487,,
,,2,0.0035969215631725575,,
,,3,0.003607389288185797,,
,,3,0.0036182406663911606,,
,,3,0.0036313208249973486,,
,,3,0.0036495457752050747,,
,,3,0.003671869754251583,,
,,4,0.003682607822624756,,
,,4,0.00369261621866891,,
,,4,0.0037015794618246,,
,,4,0.0037110238528848885,,
,,4,0.003720669141608609,,
,,4,0.003731071279778147,,
,,4,0.0037434379959935798,,
,,5,0.003755507533079833,,
,,5,0.0037685193909667357,,
,,5,0.003781505781075343,,
,,5,0.0037989689384745153,,
,,5,0.003820049203086754,,
,,5,0.00384036219772515,,
,,5,0.0038608921658712047,,
,,5,0.003870622358459131,,
,,6,0.003880280844654484,,
,,6,0.003895972406959293,,
,,6,0.003911736397362927,,
,,6,0.0039274852072281995,,
,,6,0.003943201167105455,,
,,6,0.003958882711347257,,
,,6,0.003974146555416836,,
,,6,0.003985782361349462,,
,,6,0.003985782361349462,,
,,6,0.003984122681763812,,
,,6,0.0039715148402385105,,
,,7,0.00395914028018143,,
,,7,0.003945181755651903,,
,,7,0.003929657578483167,,
,,7,0.00391892827981624,,
,,7,0.00391063946855271,,
,,7,0.0038993257763751937,,
,,7,0.003883004488304541,,
,,6,0.0038583235050628395,,
,,6,0.0038254540894943497,,
,,5,0.0037721891095903264,,
,,5,0.0037134331232419396,,
,,4,0.0036500464407125013,,
,,4,0.0035860640163292937,,
,,4,0.0035191743198928847,,
,,4,0.0034472391399356446,,
,,4,0.0033730034049154964,,
,,4,0.0033016780836463977,,
,,4,0.0032296455422647745,,
,,4,0.003158414466729643,,
,,4,0.0030865585574267247,,
,,4,0.0030134471393188887,,
,,4,0.0029386344034008447,,
,,4,0.0028658917186712815,,
,,4,0.0027942048160678533,,
,,4,0.002725198874041321,,
,,4,0.0026556223133408336,,
,,4,0.0025887269108737297,,
,,4,0.0025239693193597947,,
,,4,0.002464321148038799,,
,,4,0.0024514263092941494,,
,,4,0.002447868664499519,,
,,5,0.002439036538465066,,
,,5,0.00242548250233204,,
,,5,0.0024077542004586946,,
,,5,0.002396650436375367,,
,,5,0.0023857357229197726,,
,,5,0.0023857357229197726,,
,,5,0.002384184459055152,,
,,5,0.0023782879531753474,,
,,5,0.002368977640832674,,
,,5,0.002357802197664577,,
,,5,0.0023467349298113053,,
,,6,0.0023411793404101355,,
,,6,0.002332311005527756,,
,,6,0.0023185112836815692,,
,,6,0.002299711156997339,,
,,6,0.002276213470323419,,
,,5,0.002252858764711266,,
,,5,0.002227370146660079,,
,,5,0.0021918143817746746,,
,,5,0.002151254193902902,,
,,5,0.0021053809164326373,,
,,5,0.002050903371196274,,
,,5,0.0019982158395179857,,
,,5,0.0019407929473472113,,
,,5,0.0018789242250272264,,
,,5,0.001814904963716597,,
,,5,0.0017513007810289916,,
,,5,0.0016867145264805004,,
,,5,0.0016212873424074114,,
,,5,0.0015549764933966068,,
,,5,0.0014884344175047507,,
,,5,0.0014648701283968895,,
,,5,0.0014580431942651407,,
,,5,0.001467093467392645,,
,,5,0.0014841171980104681,,
,,5,0.0015101938883235748,,
,,6,0.0015231696752019438,,
,,6,0.0015428478804273842,,
,,6,0.00155224197441355,,
,,6,0.0015641643107321096,,
,,6,0.0015780064142903313,,
,,6,0.001604952455050294,,
,,6,0.0016327058887506201,,
,,6,0.0016444096534047926,,
,,6,0.0016553669241225915,,
,,6,0.0016667562251079311,,
,,6,0.0016780901276612593,,
,,6,0.0016894958016257422,,
,,6,0.0017027170674581839,,
,,7,0.0017158136419557785,,
,,7,0.0017290081188323526,,
,,7,0.0017456050765851188,,
,,7,0.0017659416807707569,,
,,7,0.0017861359306737517,,
,,7,0.0017870379780711386,,
,,7,0.0017870379780711386,,
,,7,0.0017870379780711386,,
,,7,0.0017868465786877925,,
,,7,0.0017868465786877925,,
,,7,0.0017868465786877925,,
,,7,0.0017868465786877925,,
,,7,0.0017868465786877925,,
,,7,0.0017868465786877925,,
,,7,0.0017860140915008835,,
,,7,0.001786014091520286,,
,,7,0.0017858109629067828,,
,,7,0.0017849012458362725,,
,,7,0.001783974734384939,,
,,7,0.001783322526575326,,
,,7,0.001783322526575326,,
,,7,0.001783322526575326,,
,,7,0.001783322526575326,,
,,7,0.0017819762279365839,,
,,7,0.0017801529755793763,,
,,7,0.001780141045590381,,
,,7,0.001780141045590381,,
,,7,0.0017799432732279238,,
,,7,0.0017789076967637534,,
,,7,0.0017779540203053327,,
,,7,0.0017796311557545972,,
,,7,0.0017868694878074827,,
